transaction_id_public,day_id_public,month,weekday,hour,service_interval,basket_value_ron,item_lines,distinct_products,total_quantity,item_level_value_ron,multi_product_basket,value_difference_ron
T000001,D0001,2024-05,Monday,12,Lunch (12-15),114.40,4,4,7.00,114.40,1,0.00
T000002,D0001,2024-05,Monday,13,Lunch (12-15),185.80,6,6,9.00,185.80,1,0.00
T000003,D0001,2024-05,Monday,13,Lunch (12-15),83.70,4,4,4.00,83.70,1,0.00
T000004,D0001,2024-05,Monday,14,Lunch (12-15),51.60,3,3,6.00,51.60,1,0.00
T000005,D0001,2024-05,Monday,14,Lunch (12-15),265.05,11,11,26.00,265.05,1,0.00
T000006,D0001,2024-05,Monday,14,Lunch (12-15),19.80,1,1,2.00,19.80,0,0.00
T000007,D0001,2024-05,Monday,15,Lunch (12-15),97.50,5,5,5.00,97.50,1,0.00
T000008,D0001,2024-05,Monday,15,Lunch (12-15),44.30,3,3,3.00,44.30,1,0.00
T000009,D0001,2024-05,Monday,15,Lunch (12-15),52.40,3,3,6.00,52.40,1,0.00
T000010,D0001,2024-05,Monday,15,Lunch (12-15),10.90,1,1,1.00,10.90,0,0.00
T000011,D0001,2024-05,Monday,15,Lunch (12-15),292.30,5,5,11.00,292.30,1,0.00
T000012,D0001,2024-05,Monday,16,Afternoon (16-18),25.80,2,2,2.00,25.80,1,0.00
T000013,D0001,2024-05,Monday,16,Afternoon (16-18),30.70,3,3,4.00,30.70,1,-0.00
T000014,D0001,2024-05,Monday,16,Afternoon (16-18),37.90,2,2,3.00,37.90,1,0.00
T000015,D0001,2024-05,Monday,16,Afternoon (16-18),440.70,13,13,27.00,440.70,1,0.00
T000016,D0001,2024-05,Monday,16,Afternoon (16-18),49.00,1,1,1.00,49.00,0,0.00
T000017,D0001,2024-05,Monday,17,Afternoon (16-18),40.50,2,2,5.00,40.50,1,0.00
T000018,D0001,2024-05,Monday,17,Afternoon (16-18),13.90,1,1,1.00,13.90,0,0.00
T000019,D0001,2024-05,Monday,18,Afternoon (16-18),151.50,10,10,13.00,151.50,1,0.00
T000020,D0001,2024-05,Monday,18,Afternoon (16-18),113.00,7,7,11.00,113.00,1,0.00
T000021,D0001,2024-05,Monday,18,Afternoon (16-18),80.50,4,4,5.00,80.50,1,0.00
T000022,D0001,2024-05,Monday,18,Afternoon (16-18),116.70,4,4,5.00,116.70,1,0.00
T000023,D0001,2024-05,Monday,18,Afternoon (16-18),26.90,2,2,2.00,26.90,1,0.00
T000024,D0001,2024-05,Monday,18,Afternoon (16-18),156.90,3,3,6.00,156.90,1,0.00
T000025,D0001,2024-05,Monday,18,Afternoon (16-18),67.80,3,3,4.00,67.80,1,0.00
T000026,D0001,2024-05,Monday,18,Afternoon (16-18),57.60,3,3,4.00,57.60,1,0.00
T000027,D0001,2024-05,Monday,18,Afternoon (16-18),90.40,7,7,8.00,90.40,1,0.00
T000028,D0001,2024-05,Monday,19,Dinner (19-21),66.50,4,4,5.00,66.50,1,0.00
T000029,D0001,2024-05,Monday,19,Dinner (19-21),468.50,7,7,25.00,468.50,1,0.00
T000030,D0001,2024-05,Monday,19,Dinner (19-21),38.70,2,2,3.00,38.70,1,0.00
T000031,D0001,2024-05,Monday,19,Dinner (19-21),61.90,3,3,4.00,61.90,1,0.00
T000032,D0001,2024-05,Monday,19,Dinner (19-21),63.15,4,4,4.00,63.15,1,0.00
T000033,D0001,2024-05,Monday,19,Dinner (19-21),45.80,1,1,2.00,45.80,0,0.00
T000034,D0001,2024-05,Monday,20,Dinner (19-21),103.20,1,1,8.00,103.20,0,0.00
T000035,D0001,2024-05,Monday,20,Dinner (19-21),21.00,2,2,2.00,21.00,1,0.00
T000036,D0001,2024-05,Monday,20,Dinner (19-21),131.10,8,8,8.00,131.10,1,0.00
T000037,D0001,2024-05,Monday,20,Dinner (19-21),38.80,2,2,2.00,38.80,1,0.00
T000038,D0001,2024-05,Monday,20,Dinner (19-21),7.00,1,1,1.00,7.00,0,0.00
T000039,D0001,2024-05,Monday,21,Dinner (19-21),51.60,1,1,4.00,51.60,0,0.00
T000040,D0001,2024-05,Monday,21,Dinner (19-21),13.90,1,1,1.00,13.90,0,0.00
T000041,D0001,2024-05,Monday,21,Dinner (19-21),158.40,3,3,16.00,158.40,1,0.00
T000042,D0001,2024-05,Monday,21,Dinner (19-21),243.90,4,4,21.00,243.90,1,0.00
T000043,D0001,2024-05,Monday,21,Dinner (19-21),23.80,1,1,2.00,23.80,0,0.00
T000044,D0001,2024-05,Monday,21,Dinner (19-21),1364.50,8,8,63.00,1364.50,1,0.00
T000045,D0001,2024-05,Monday,22,Late evening (22-23),224.10,4,4,19.00,224.10,1,0.00
T000046,D0001,2024-05,Monday,22,Late evening (22-23),214.40,6,6,8.00,214.40,1,0.00
T000047,D0001,2024-05,Monday,22,Late evening (22-23),35.00,1,1,1.00,35.00,0,0.00
T000048,D0001,2024-05,Monday,22,Late evening (22-23),121.00,7,7,11.00,121.00,1,0.00
T000049,D0002,2024-05,Tuesday,10,Early service (00-11),19.80,1,1,2.00,19.80,0,0.00
T000050,D0002,2024-05,Tuesday,11,Early service (00-11),8.00,1,1,1.00,8.00,0,0.00
T000051,D0002,2024-05,Tuesday,11,Early service (00-11),53.70,3,3,3.00,53.70,1,0.00
T000052,D0002,2024-05,Tuesday,11,Early service (00-11),46.60,2,2,4.00,46.60,1,0.00
