product_id_public,canonical_product_id,product_label_en,translation_status_public,sensitive_label,privacy_flags
P0001,P0001,Product P0001,redacted_sensitive_review_required,True,contains_date|possible_person_name
P0002,P0002,Product P0002,redacted_sensitive_review_required,True,contains_date|possible_person_name
P0003,P0003,Product P0003,translation_pending,False,
P0004,P0004,Product P0004,translation_pending,False,
P0005,P0005,Product P0005,translation_pending,False,
P0006,P0006,Product P0006,redacted_sensitive_review_required,True,contains_date|possible_person_name|possible_private_event
P0007,P0007,Product P0007,translation_pending,False,
P0008,P0008,Product P0008,translation_pending,False,
P0009,P0009,"Borsec sparkling mineral water, 750 ml",reviewed,False,
P0010,P0010,Product P0010,translation_pending,False,
P0011,P0011,Product P0011,translation_pending,False,
P0012,P0012,Product P0012,translation_pending,False,
P0013,P0013,Product P0013,translation_pending,False,
P0014,P0014,Product P0014,translation_pending,False,
P0015,P0015,Product P0015,translation_pending,False,
P0016,P0016,Product P0016,translation_pending,False,
P0017,P0017,Product P0017,translation_pending,False,
P0018,P0018,"Hot pepper, 1 pc.",reviewed,False,
P0019,P0019,Product P0019,translation_pending,False,
P0020,P0020,Product P0020,translation_pending,False,
P0021,P0021,Product P0021,translation_pending,False,
P0022,P0022,Product P0022,translation_pending,False,
P0023,P0023,Product P0023,translation_pending,False,
P0024,P0024,Product P0024,translation_pending,False,
P0025,P0025,Product P0025,translation_pending,False,
P0026,P0026,Product P0026,translation_pending,False,
P0027,P0027,Product P0027,translation_pending,False,
P0028,P0028,Product P0028,translation_pending,False,
P0029,P0029,Product P0029,translation_pending,False,
P0030,P0030,Product P0030,translation_pending,False,
P0031,P0031,Product P0031,translation_pending,False,
P0032,P0032,Product P0032,translation_pending,False,
P0033,P0033,Product P0033,translation_pending,False,
P0034,P0034,Product P0034,translation_pending,False,
P0035,P0035,Product P0035,translation_pending,False,
P0036,P0036,Product P0036,translation_pending,False,
P0037,P0037,Product P0037,translation_pending,False,
P0038,P0038,Product P0038,translation_pending,False,
P0039,P0039,Product P0039,translation_pending,False,
P0040,P0040,Product P0040,translation_pending,False,
P0041,P0041,Product P0041,translation_pending,False,
P0042,P0042,Product P0042,translation_pending,False,
P0043,P0043,Product P0043,translation_pending,False,
P0044,P0044,Product P0044,translation_pending,False,
P0045,P0045,Product P0045,translation_pending,False,
P0046,P0046,Product P0046,translation_pending,False,
P0047,P0047,Product P0047,translation_pending,False,
P0048,P0048,Product P0048,translation_pending,False,
P0049,P0049,Product P0049,translation_pending,False,
P0050,P0050,Product P0050,translation_pending,False,
P0051,P0051,Product P0051,translation_pending,False,
P0052,P0052,Product P0052,translation_pending,False,
P0053,P0053,Product P0053,translation_pending,False,
P0054,P0054,Product P0054,translation_pending,False,
P0055,P0055,Product P0055,translation_pending,False,
P0056,P0056,Product P0056,translation_pending,False,
P0057,P0057,Product P0057,translation_pending,False,
P0058,P0058,Product P0058,translation_pending,False,
P0059,P0059,Product P0059,translation_pending,False,
P0060,P0060,Product P0060,translation_pending,False,
