antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0072,"French fries, 180 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",3191,5580,5898,0.10241679237410534,0.5718637992831541,3.0209495412453764,6482.459103435359,0.0,0.0,0.4561336114951643,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0072,"French fries, 180 g",3191,5898,5580,0.10241679237410534,0.5410308579179383,3.0209495412453764,6482.459103435359,0.0,0.0,0.4561336114951643,True
P0070,"Caru' cu Flori potatoes, 180 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",1767,4003,5898,0.05671277722502167,0.4414189357981514,2.331856524697016,1902.4397486920932,0.0,0.0,0.2471027840412338,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0070,"Caru' cu Flori potatoes, 180 g",1767,5898,4003,0.05671277722502167,0.29959308240081384,2.331856524697016,1902.4397486920932,0.0,0.0,0.2471027840412338,True
P0612,"Sour cream, 50 g",P0018,"Hot pepper, 1 pc.",1664,2147,2461,0.05340693905061463,0.7750349324639031,9.812175290848367,15356.648896150462,0.0,0.0,0.7020538257782671,True
P0018,"Hot pepper, 1 pc.",P0612,"Sour cream, 50 g",1664,2461,2147,0.05340693905061463,0.6761479073547338,9.812175290848367,15356.648896150462,0.0,0.0,0.7020538257782671,True
P0082,"Tripe soup, 300/100 g",P0018,"Hot pepper, 1 pc.",1490,2454,2461,0.04782231922200469,0.6071719641401793,7.686979637023799,10215.347695758552,0.0,0.0,0.572596592754255,True
P0018,"Hot pepper, 1 pc.",P0082,"Tripe soup, 300/100 g",1490,2461,2454,0.04782231922200469,0.6054449410808614,7.686979637023799,10215.347695758552,0.0,0.0,0.572596592754255,True
P0612,"Sour cream, 50 g",P0082,"Tripe soup, 300/100 g",1455,2147,2454,0.046698976153031424,0.6776897997205403,8.604230272979983,11399.813251655858,0.0,0.0,0.6048825435885922,True
P0082,"Tripe soup, 300/100 g",P0612,"Sour cream, 50 g",1455,2454,2147,0.046698976153031424,0.5929095354523227,8.604230272979983,11399.813251655858,0.0,0.0,0.6048825435885922,True
